size,distance_from_center,rooms,price
388,0.345283,1,520000
420,0.345283,12,520000
433,0.156989,10,520000
335,0.156989,13,520000
395,0.156989,9,519900
257,6.72606,6,519000
257,0.156989,6,519000
295,6.44531,5,515000
300,6.4284,1,515000
297,4.34382,6,515000
197,7.20064,5,510000
124,4.90635,4,510000
124,4.90635,4,510000
122.3,4.5066,4,510000
169,2.057,4,510000
169,2.057,4,510000
169,1.56083,4,510000
169,1.24542,4,510000
127,0.424649,4,510000
400,14.8455,6,500000
550,9.71245,,500000
420,8.80805,7,500000
450,7.5862,10,500000
424,7.58397,15,500000
565,7.58397,,500000
530,7.58397,,500000
525,7.58397,10,500000
237,6.29805,8,500000
536,6.0833,4,500000
536,6.0833,9,500000
430,6.02467,7,500000
450,5.74776,7,500000
142,5.09899,5,500000
600,4.98199,9,500000
143,2.29879,5,500000
133,2.057,4,500000
155,1.32493,4,500000
250,1.0579,7,500000
100,0.554301,3,500000
86,0.554301,3,500000
137,0.424649,5,500000
166,0.424649,4,500000
163,2.6637,3,499900
137,2.16739,4,499900
350,2.67382,,499000
163,2.61661,3,499000
160,1.01797,4,499000
330,9.71245,1,496900
330,3.20643,1,496900
177,1.23374,4,495600
456,9.38009,7,495000
220,3.36839,7,495000
220,2.98057,5,495000
220,2.98057,5,495000
150,1.89944,4,495000
653,15.5261,6,490000
306,9.71245,5,490000
196,8.15602,9,490000
400,6.36535,,490000
350,6.0833,7,490000
530,3.90821,6,490000
150,3.6126,4,490000
328,3.20643,6,490000
133,3.20643,4,490000
450,2.63446,,490000
152,0.156989,4,490000
163,0.156989,5,490000
163,0.424649,8,489000
163,0.156989,6,489000
143,1.43364,4,486888
187,4.90635,2,485265
350,4.78557,10,485000
240,2.47713,8,485000
148,0.414536,7,485000
148,0.414536,7,485000
140,1.43364,4,482888
144,1.43364,4,482888
136,2.057,5,482800
60,1.43364,2,481888
204,4.90635,5,481000
500,9.71245,9,480000
500,9.39322,9,480000
535,6.0833,5,480000
300,5.09024,8,480000
200,0.424649,5,480000
500,0.156989,9,480000
140,1.43364,4,479888
140,1.43364,4,479888
87,4.7589,4,479000
143.44,0.825181,4,478888
201,5.0221,5,478000
59,0.825181,1,473888
139,1.43364,4,472888
135,4.33231,3,472500
189,1.88458,6,472000
139,1.43364,4,471888
144,1.43364,4,470888
492,9.09402,10,470000
600,9.09402,,470000
600,9.09402,,470000
282,6.55267,1,470000
142,2.9817,4,470000
170,1.79684,4,470000
61.65,1.43364,2,467888
133,2.52048,4,465640
150,7.20064,3,465000
240,6.34408,6,465000
244,2.83102,5,465000
140,0.617663,4,465000
211,5.09899,6,464000
144,1.43364,4,462888
228,1.32601,6,462500
560,11.7119,9,460000
600,9.71245,5,460000
216,9.71245,5,460000
219,5.29784,5,460000
219,5.09899,5,460000
219,5.09899,5,460000
180,3.47248,4,460000
114,0.691768,4,460000
115,0.156989,4,460000
115,0.156989,4,460000
190,1.5106,4,459800
163,2.61661,4,459000
465,14.8455,,452000
209,5.09024,4,451000
196,1.89028,5,450800
250,9.71245,,450000
700,8.66102,5,450000
215,6.02467,,450000
256,5.74776,7,450000
250,5.52945,5,450000
250,5.49739,12,450000
650,5.37728,9,450000
300,5.37728,6,450000
155,5.09024,4,450000
150,4.33231,5,450000
135,4.33231,4,450000
294,4.06245,9,450000
310,4.06245,6,450000
251,4.06245,6,450000
200,3.48303,1,450000
140,3.48303,5,450000
320,2.78117,7,450000
250,2.67382,10,450000
168,2.057,5,450000
167,2.057,5,450000
170,1.56083,5,450000
170,0.156989,7,450000
168,0.156989,5,450000
140,0.148558,4,450000
465,9.38009,10,449000
130,2.14118,4,449000
179,0.661775,4,447500
179,0.661775,4,447000
213,4.33231,7,445000
390,14.4675,6,442000
226,6.02467,10,440000
270,2.65438,5,440000
155,0.424649,4,440000
207,5.34987,5,438000
207,5.34743,5,438000
207,5.09024,5,438000
110,1.43364,3,437888
109.94,1.43364,3,437888
313,6.74366,6,435000
109,1.43364,3,431888
560,6.36535,9,430000
125,6.25952,5,430000
428,5.37728,8,430000
170,2.057,5,430000
130,0.126705,5,430000
100,4.90635,3,429900
235,0.523096,6,429900
126,1.43364,4,429888
140,4.33231,4,429000
125,0.156989,4,429000
125,0.156989,4,429000
121,4.33231,4,426000
126,1.43364,4,425888
220,9.71245,5,425000
187,5.09024,3,425000
480,3.37276,,425000
186,3.16964,4,425000
106,0.59264,4,424000
144.44,1.57166,3,423888
201,9.71245,7,422100
201,9.39322,7,422100
201,0.156989,7,422100
250,14.8455,4,420000
320,9.71245,,420000
178,9.71245,4,420000
275,8.32368,8,420000
320,6.35328,7,420000
451,6.17354,8,420000
320,5.91953,1,420000
320,5.91953,6,420000
245,5.78935,4,420000
365,5.09899,10,420000
257,5.09024,6,420000
320,4.98957,6,420000
190,4.33231,6,420000
182,4.06245,5,420000
191,3.47996,4,420000
190,3.47993,,420000
190,3.46202,6,420000
119,3.16964,4,420000
140,2.67382,3,420000
119,2.16739,4,420000
119,2.057,4,420000
120,1.06401,4,420000
118,0.156989,3,420000
147,0.617663,4,419900
131,2.16739,4,419200
355,6.9526,13,419000
375,6.0833,,419000
155,1.56083,5,418500
148,13.7775,4,418000
139,1.06401,4,417000
139,1.01797,5,417000
139,0.986119,4,417000
139,0.966912,5,417000
174,5.14228,4,416592
160,0.156989,5,416000
108,1.43364,3,415888
120,4.44433,6,415000
148,4.06245,5,415000
120,3.70029,6,415000
120,3.20643,6,415000
120,3.04747,6,415000
179,2.64008,5,415000
110,1.43364,3,412888
137,4.33231,4,411000
153,5.09024,3,410000
153,5.09024,3,410000
415,4.78557,5,410000
415,4.78557,5,410000
157,2.85759,3,410000
214,2.63446,7,410000
123,1.43364,4,409888
118,5.09024,4,405000
245,5.09024,5,405000
120,7.20064,,400000
230,6.01333,5,400000
357,5.91953,6,400000
435,5.91953,7,400000
330,5.68715,1,400000
209.4,5.09024,4,400000
400,4.55249,10,400000
260,4.06245,5,400000
257,4.06245,4,400000
360,3.90821,5,400000
112,3.83992,2,400000
220,3.52054,6,400000
92,2.26694,3,400000
133,2.16739,4,400000
133,2.16739,4,400000
133,2.16739,4,400000
133,2.057,4,400000
133,1.56083,4,400000
122,1.15138,5,400000
90,1.06401,2,400000
204,1.01797,6,400000
174,0.424649,5,400000
90,0.424649,2,400000
204,0.406916,6,400000
204,0.406916,6,400000
90,0.156989,2,400000
120,0.156989,5,400000
95,0.156989,3,400000
119,0.156989,5,400000
204,0.156989,6,400000
204,0.0827487,6,400000
153.83,1.15138,5,399958
108.18,1.57166,3,399888
320,7.06187,6,399000
320,6.35917,6,399000
320,5.91953,6,399000
320,5.91953,5,399000
114,5.09024,4,399000
112,3.25484,4,399000
135,2.9817,5,399000
105,2.057,5,399000
125,1.0579,5,399000
125,1.05038,5,399000
126,1.01797,4,399000
125,0.308738,5,399000
125,0.156989,4,399000
125,0.156989,5,399000
125,0.156989,4,399000
125,0.156989,5,399000
125,0.156989,5,399000
123,1.43364,4,398888
175,9.71245,5,398000
103,1.43364,3,397888
440,7.20064,5,397000
450,26.7801,6,395000
600,9.71245,6,395000
330,6.43419,9,395000
450,6.43419,10,395000
522,6.35193,7,395000
500,5.74776,5,395000
315,5.74178,,395000
330,5.29784,9,395000
150,5.26768,1,395000
330,5.09899,9,395000
450,5.09899,10,395000
146,5.09024,5,395000
158,5.09024,5,395000
150,4.8742,,395000
150,4.8742,,395000
250,4.78557,7,395000
158,4.33231,5,395000
161,2.16739,9,395000
350,2.16739,10,395000
112,1.43364,4,395000
330,0.156989,9,395000
124,1.43364,4,393888
123,2.29971,4,392888
124,1.43364,4,392888
95,0.156989,3,392000
107,1.43364,3,390888
345,9.71245,6,390000
578,9.38009,5,390000
160,7.20064,5,390000
148,5.09024,3,390000
260,3.88964,5,390000
125,3.6126,4,390000
159,3.56307,1,390000
159,3.56307,5,390000
160,3.56307,6,390000
155,1.06401,4,390000
127,0.424649,5,390000
1052,9.71245,,389900
170,5.51127,5,389000
158,5.29784,4,389000
226,2.63446,4,389000
130,2.16739,5,389000
588,12.124,10,388000
194,7.20064,4,388000
119,1.43364,4,387888
210,4.33231,4,386000
332,5.47531,10,385000
320,5.47531,10,385000
200,3.36839,6,385000
112,2.53719,3,385000
74,0.156989,2,385000
128,2.057,2,384000
160,5.14228,4,383040
123,1.43364,2,382888
180,9.71245,5,382200
124,1.43364,4,380888
136,1.23374,5,380800
141,3.16964,5,380727
158,5.14228,4,380160
130,9.71245,5,380000
370,9.71245,7,380000
350,9.71245,6,380000
190,9.71245,4,380000
750,9.28964,8,380000
750,8.90366,,380000
460,7.84599,10,380000
460,7.84599,10,380000
290,5.09899,6,380000
183,5.09024,5,380000
263,5.09024,6,380000
183,5.09024,3,380000
235,4.33231,5,380000
150,3.96324,4,380000
150,3.96324,4,380000
228,3.20643,7,380000
195,2.63446,6,380000
90,2.53719,4,380000
113,0.156989,4,380000
99,0.126705,3,380000
147,3.25484,4,379900
130,3.16964,5,379000
177,0.424649,5,377000
250,5.78935,4,376000
261,5.78935,5,376000
376,5.32863,,376000
220,5.09024,6,376000
210,5.03995,6,376000
250,3.54341,6,375000
150,3.16964,5,375000
112,2.53719,3,375000
181,0.411135,,375000
123,1.43364,4,373888
111,1.43364,4,371888
106,0.0246945,3,371000
110,1.43364,4,370888
510,9.59386,10,370000
180,8.15602,5,370000
450,7.20064,10,370000
205,6.01333,4,370000
240,6.01333,,370000
300,4.78557,6,370000
135,4.33231,4,370000
200,3.60281,8,370000
150,2.63446,4,370000
146,2.3617,3,370000
137,2.23639,4,370000
137,2.14118,4,370000
137,2.14118,4,370000
137,2.14118,4,370000
137,2.14118,4,370000
137,2.14118,4,370000
137,2.14118,4,370000
137,2.057,4,370000
123,0.0246945,5,370000
137,2.14118,4,369888
195,3.50347,6,369000
195,3.49683,6,369000
195,3.49626,6,369000
195,3.47878,6,369000
195,2.63446,6,369000
149,2.26694,4,369000
115,0.424649,4,369000
177,0.156989,6,369000
121,1.43364,4,368888
110,1.43364,4,367888
119,1.43364,4,367888
107,0.825181,3,367888
99,5.09024,3,366300
230,6.01333,4,365000
230,6.01333,4,365000
135,4.33231,4,365000
160,3.96324,4,365000
101,0.156989,4,363000
101,0.156989,4,363000
111,1.43364,4,362888
226,5.53949,6,361000
111,1.43364,4,360888
700,11.8296,10,360000
370,10.8419,10,360000
550,10.3411,1,360000
490,10.3169,,360000
190,9.71245,7,360000
414,5.91953,12,360000
126,4.33847,4,360000
126,4.33847,4,360000
126,4.33847,4,360000
126,4.33847,4,360000
90,4.33231,3,360000
178,4.06245,,360000
350,3.90821,5,360000
119,1.43364,4,360000
147,1.01797,5,360000
150,0.710863,2,360000
148,0.554301,4,360000
148,0.424649,5,360000
130,0.424649,4,360000
140,0.411135,5,360000
128,0.156989,5,360000
90,0.156989,3,360000
105,0.148558,4,360000
115,0.148558,4,360000
118,1.43364,4,358888
110.46,1.43364,2,358888
118,1.43364,4,358888
128,0.459646,3,358400
128,0.459646,4,358400
118,2.057,5,358000
119,1.43364,4,357888
119,1.43364,4,357888
102,2.52048,3,357420
115,5.26985,8,357000
160,5.09024,4,357000
272,4.78557,5,357000
99,5.09024,3,356400
99,4.33231,3,356400
290,7.20064,,356000
290,5.50686,,356000
289,5.50686,5,356000
89,0.156989,3,356000
110.64,1.43364,3,355888
111,1.43364,4,355888
111,1.43364,4,355888
148,5.14228,5,355056
145,5.09024,4,355000
145,4.33231,4,355000
93,1.43364,3,355000
90,1.43364,3,355000
103,0.424649,3,355000
113,1.43364,4,353000
118.03,1.43364,4,352888
128,2.67382,3,352000
160,0.779512,7,352000
88,0.156989,3,352000
117,1.43364,4,351888
111,1.43364,4,350888
350,11.7218,1,350000
325,11.489,6,350000
700,11.0628,10,350000
112,9.71245,4,350000
335,9.71245,7,350000
350,8.41157,8,350000
600,8.32368,9,350000
250,8.15602,7,350000
290,8.15602,7,350000
192,7.84599,12,350000
570,7.80819,5,350000
400,7.80819,5,350000
400,7.79349,8,350000
284,7.20064,4,350000
210,7.20064,5,350000
390,6.93042,7,350000
333,6.54604,5,350000
330,5.91953,5,350000
580,5.91953,8,350000
150,5.09024,5,350000
150,5.09024,5,350000
150,5.09024,6,350000
135,5.09024,4,350000
172,5.09024,5,350000
120,5.09024,4,350000
100,4.90635,3,350000
304,4.78557,5,350000
200,4.78557,5,350000
152,4.78557,3,350000
165,4.33231,5,350000
150,4.33231,5,350000
165,4.33231,5,350000
223,4.33231,6,350000
140,4.33231,4,350000
175,4.19315,4,350000
294,4.06245,7,350000
300,4.04613,1,350000
280,3.69598,5,350000
118,3.20643,4,350000
118,3.20643,4,350000
322,3.04747,10,350000
195,2.63446,,350000
127,2.54091,4,350000
193,2.49293,5,350000
107,2.28352,4,350000
102,2.16739,4,350000
102,2.16739,4,350000
110,1.56083,4,350000
112,1.06401,4,350000
117,1.06401,4,350000
147,1.06401,5,350000
111,1.05038,4,350000
116,1.05038,4,350000
110,0.615798,1,350000
153,0.526064,5,350000
104,0.523096,4,350000
170,0.424649,4,350000
106,0.389715,1,350000
97,0.156989,3,350000
84,0.156989,4,350000
174,4.33231,4,349900
200,3.82062,6,349900
109,2.057,4,349900
102,0.180963,4,349900
84,0.156989,3,349900
102,0.156989,4,349900
112,2.67382,4,349888
121,1.43364,4,349888
111,1.43364,4,349888
127,2.67382,3,349250
245,9.31894,10,349000
120,0.156989,5,349000
105,0.156989,5,349000
160,26.7801,4,348000
115,1.43364,4,347888
115,1.43364,4,347888
115,1.43364,4,347888
133,3.16964,3,346000
90,6.01333,5,345000
270,5.45598,5,345000
146,5.09024,4,345000
146,5.09024,4,345000
149,5.09024,4,345000
146,4.33231,4,345000
